image_id,question,category,concise_prompt,n_descriptions_used
1884,"A rectangular piece of paper $F G H I$ with sides of length $4 \mathrm{~cm}$ and $16 \mathrm{~cm}$ is folded along the line $M N$ so that the vertex $G$ coincides with the vertex $I$ as shown. The outline of the paper now makes a pentagon $F M N H^{\prime} I$. What is the area, in $\mathrm{cm}^{2}$, of the pentagon $F M N H^{\prime} I$ ? <image1>",transformation geometry,"Draw a geometric diagram of a folded rectangle with a pentagon outline FMNH'I, where F is at the bottom left, M is at the bottom center, N is at the upper right, H' is at the upper left, and I is on the left vertical edge. Include dashed lines for the original rectangle's edges, with G at the bottom right and H at the right vertical edge, and solid lines for the pentagon's edges. Label the vertices with F, G, H, H', I, M, and N.",4
1885,"The diagram shows a square with sides of length $4 \mathrm{~mm}$, a square with sides of length $5 \mathrm{~mm}$, a triangle with area $8 \mathrm{~mm}^{2}$, and a parallelogram. What is the area, in $\mathrm{mm}^{2}$, of the parallelogram? <image1>",metric geometry - area,"Draw a diagram with 4 adjacent polygons: a rotated square on the left, a triangle below the center, a rotated square on the upper middle/right, and a tilted parallelogram on the right. The shapes share edges, with the left square and upper square touching, the triangle meeting the left square and right parallelogram, and the parallelogram attached to the upper square.",4
1886,"Carlos creates a game. The diagram shows the board for the game. At the start, the kangaroo is at the school $(\mathrm{S})$. According to the rules of the game, from any position except home $(\mathrm{H})$, the kangaroo can jump to either of the two neighbouring positions. When the kangaroo lands on $\mathrm{H}$ the game is over. In how many ways can the kangaroo move from $\mathrm{S}$ to $\mathrm{H}$ in exactly 13 jumps? <image1>",graph theory,"Draw a 2x2 grid of 4 equal-sized circles, each containing a large bold capital letter: ""H"" (top-left), ""S"" (top-right), ""L"" (bottom-left), and ""P"" (bottom-right). Label ""Home"" above the top-left circle, ""School"" above the top-right, ""Library"" below the bottom-left, and ""Park"" below the bottom-right. Connect the circles with thin solid lines to form a square: top-left to top-right, top-left to bottom-left, top-right to bottom-right, and bottom-left to bottom-right.",4
1887,"The diagram shows six identical squares, each containing a shaded region.
<image1> How many of the regions have perimeter equal in length to the perimeter of one of the squares?",metric geometry - length,"Draw a row of 6 identical squares, each with a black outline, containing distinct gray shaded regions: an L-shape, an H-shape, a U-shape, a cross, a T-shape, and a central cross, with the rest of each square being white.",4
1888,"The outside of a $2 \times 2 \times 2$ cube is painted with black and white squares in such a way that it appears as if it was built using alternate black cubes and white cubes, as shown. Which of the following is a net of the painted cube?
<image1>
<image2>",solid geometry,"Draw a diagram with two main sections, separated by a thick blue horizontal line. The top section contains a 3D cube with a 2x2x2 grid, where each face has a checkerboard pattern of white and gray squares. The bottom section contains five 2D cube nets, labeled A to E, each with a cross-like pattern of white and gray squares. Include labels ""<image1>:"" and ""<image2>:"" in blue text at the top left of each section.",4
1889,"The trapezium shown in the diagram is rotated anti-clockwise by $90^{\circ}$ around the origin $O$, and then reflected in the $x$-axis. Which of the following shows the end result of these transformations? <image1>
<image2>",analytic geometry,"Draw a 2D coordinate system with x and y axes, labeled ""x"" and ""y"", and origin labeled ""O"". Include a gray-filled trapezium in the first quadrant with one side along the x-axis and one vertex at the origin. Below this, draw five separate coordinate systems, each with a gray-filled trapezium in different orientations, labeled A, B, C, D, E from left to right.",4
1890,The diagram shows an equilateral triangle RST and also the triangle $T U V$ obtained by rotating triangle $R S T$ about the point $T$. Angle $R T V=70^{\circ}$. What is angle $R S V$ ? <image1>,transformation geometry,"Draw a diagram with two light-gray filled triangles, RST and TUV, sharing a common vertex T. Label vertices R, S, T, U, and V in black italic serif text. Include an angle arc at S and another at T with a 70° label. Connect S to V with a dotted black line. Position R above the baseline, S at the left, T at the center, U below the right, and V above the right.",4
1891,"The diagram shows a shape made from six squares, each measuring $1 \mathrm{~cm}$ by $1 \mathrm{~cm}$. The shape has perimeter of length $14 \mathrm{~cm}$. The zigzag shape is then continued until it has 2013 squares. What is the length, in $\mathrm{cm}$, of the perimeter of the new shape? <image1>",combinatorial geometry,"Draw a 2D diagram of six identical squares, each rotated 45 degrees to form a diamond shape, connected edge-to-edge in a zigzag pattern from left to right, with each square alternating between a higher and lower position, on a plain white background with solid black lines and no labels, numbers, or additional markings.",4
1892,"The points $P$ and $Q$ are opposite vertices of a regular hexagon and the points $R$ and $S$ are midpoints of opposite edges, as shown. The area of the hexagon is $60 \mathrm{~cm}^{2}$. What is the product of the lengths, in cms, of $P Q$ and $R S$ ? <image1>",metric geometry - length,"Draw a regular hexagon with a solid black outline, oriented with one vertex at the top and one at the bottom. Inside the hexagon, draw two solid black diagonals: one connecting the lower-left vertex (labeled ""P"") to the upper-right vertex (labeled ""Q""), and another connecting a point on the upper-left slanted edge (labeled ""R"") to a point on the lower-right slanted edge (labeled ""S""). The diagonals intersect near the center of the hexagon. The labels ""P"", ""Q"", ""R"", and ""S"" are placed near their respective points.",4
1893,"The rectangle $A B C D$ lies below the $x$-axis, and to the left of the $y$-axis. The edges of the rectangle are parallel to the coordinate axes. For each point $A, B, C, D$, the $y$-coordinate is divided by the $x$-coordinate. Which of the points yields the smallest value from this calculation? <image1>",analytic geometry,"Draw a 2D Cartesian coordinate system with a horizontal x-axis and a vertical y-axis intersecting at the origin. Include a rectangle in the third quadrant, below the x-axis and to the left of the y-axis, with its edges parallel to the axes and labeled ""A"" at the top-left corner, ""B"" at the bottom-left corner, ""C"" at the bottom-right corner, and ""D"" at the top-right corner. Label the x-axis with ""x"" near its right end and the y-axis with ""y"" near its top end, both with arrowheads pointing to the right and upwards, respectively.",4
1894,"In quadrilateral $P Q R S, \angle P Q R=59^{\circ}, \angle R P Q=60^{\circ}$, $\angle P R S=61^{\circ}$ and $\angle R S P=60^{\circ}$, as shown. Which of the following line segments is the longest? <image1>",metric geometry - length,"Draw a quadrilateral $PQRS$ with $P$ at the top-left, $Q$ at the bottom-left, $R$ at the bottom-right, and $S$ at the top-right. Include a diagonal line segment $PR$ dividing the quadrilateral into two triangles. Label the vertices and include angle measures: $59^\circ$ near $Q$, $60^\circ$ near $P$, $61^\circ$ near $R$, and $60^\circ$ near $S$. Use solid black lines and place the figure on a white background.",4
1895,"How many different paths are there between points $P$ and $Q$, only travelling along the edges in the direction of the arrows shown? <image1>",combinatorics,"Draw a 3D rectangular prism with 2 main cells joined side-by-side, having solid black lines for visible edges and dashed lines for hidden edges. Include labels ""P"" near the upper left and ""Q"" near the lower right. Add solid black triangular arrowheads on edges to indicate direction, with no numerical values, axes, or shading. Position ""P"" above the top-left corner and ""Q"" below the bottom-right corner of the structure.",4
1896,"Several non-overlapping isosceles triangles have vertex $O$ in common. Every triangle shares an edge with each immediate neighbour. The smallest of the angles at $O$ has size $m^{\circ}$, where $m$ is a positive integer and the other triangles have angles at $O$ of size $2 m^{\circ}, 3 m^{\circ}, 4 m^{\circ}$, and so on. The diagram shows an arrangement of five such triangles. What is the smallest value of $m$ for which such a set of triangles exists?
<image1>",combinatorics,"Draw a diagram with 5 triangles sharing a common vertex labeled ""O"", each with an angle at ""O"" labeled with a degree measure: 24°, 48°, 72°, 96°, and 120°. The triangles are arranged radially around ""O"", forming an irregular pentagon with solid black lines on a white background. Place the angle labels near ""O"" within each triangular sector.",4
1897,"If $r, s$, and $t$ denote the lengths of the 'lines' in the picture, then which of the following inequalities is correct? <image1>",combinatorial geometry,"Draw a rectangular grid with three thick black paths labeled 'r', 's', and 't' from left to right. Path 'r' is a step-like line with horizontal and vertical segments. Path 's' includes two smooth semicircular arcs. Path 't' has horizontal, diagonal, and vertical segments. Each label is near the left portion of its corresponding path.",4
1898,"The big wheel of this penny-farthing bicycle has perimeter 4.2 metres. The small wheel has perimeter 0.9 metres. At a certain moment, the valves of both wheels are at their lowest points. The bicycle begins to roll.
How many metres will the bicycle have rolled forward when both valves are next at their lowest points at the same time?
<image1>",transformation geometry,"Draw a penny-farthing bicycle with a large wheel on the right and a small wheel on the lower left, connected by a frame. The large wheel has a diameter approximately 4-5 times that of the small wheel. Include numerous thin spokes radiating from the center of each wheel to its rim, a seat above the large wheel, and handlebars at the top. All elements are solid black lines on a white background.",4
1899,"The diagram shows a regular octagon, with a line drawn between two of its vertices. The shaded area measures $3 \mathrm{~cm}^{2}$.
What is the area of the octagon in square centimetres? <image1>",metric geometry - area,"Draw a regular octagon with a horizontal line segment inside, dividing it into two regions. The upper region is shaded with a uniform light gray color, while the lower region is unshaded. The octagon is centered and has a solid black outline. The internal line is also solid black and horizontal, connecting two non-adjacent vertices. The shaded region occupies the top portion of the octagon.",4
1900,"The diagram shows a special die. Each pair of numbers on opposite faces has the same sum. The numbers on the hidden faces are all prime numbers. Which number is opposite to the 14 shown?
<image1>",algebra,"Draw a 3D cube with three visible faces: top, left, and right. Label the top face with ""18"", the left face with ""35"", and the right face with ""14"". Position the cube centrally with solid black lines and white faces, ensuring the numbers are centered and large on each face.",4
1901,"The picture shows seven points and the connections between them. What is the least number of connecting lines that could be added to the picture so that each of the seven points has the same number of connections with other points? (Connecting lines are allowed to cross each other.)
<image1>",graph theory,"Draw a graph with 7 solid black circular vertices and 6 solid black curved edges on a white background. The vertices are connected as follows: one vertex in the upper left connects to vertices in the lower left, center, and upper right; the upper right vertex connects to a vertex in the right middle; and two vertices at the bottom are connected by a curved line. All edges are undirected and vary in length.",4
1902,"The picture shows the same cube from two different views. It is built from 27 smaller cubes, some of which are grey and some white.
What is the largest number of grey cubes there could be?
<image1>",solid geometry,"Draw two 3D cubes, each composed of 27 smaller cubes in a 3x3x3 arrangement, with some smaller cubes shaded grey and others white, positioned one above the other with a gap in between, on a plain white background, using solid black lines for outlines and no labels or measurements.",4
1903,"In the picture, $P T$ is a tangent to the circle with centre $O$ and $P S$ is the angle bisector of angle $R P T$.
What is the size of angle TSP? <image1>",metric geometry - angle,"Draw a circle with a center point labeled ""O"" and points ""R"", ""T"", ""S"", and ""P"" marked. Include a horizontal line through the circle, extending to ""R"" on the left and ""P"" on the far right. Add a tangent line from ""P"" to ""T"" and a line from ""R"" to ""T"" and from ""P"" to ""S"", which intersects the circle. Label the points and include an angle mark at ""P"".",4
1904,"The diagram shows a triangle $F H G$ with $F H=6, G H=8$ and $F G=10$. The point $I$ is the midpoint of $F G$, and HIJK is a square. The line segment $I J$ intersects $G H$ at $L$. What is the area of the shaded quadrilateral HLJK? <image1>",metric geometry - area,"Draw a triangle FHG with F at the bottom left, H above it, and G at the bottom right. Add a square HIJK with H shared with the triangle, I on the base FG, and J and K positioned to the right and above. Include point L where line IJ intersects HG. Shade the quadrilateral HLJK. Label points F, G, H, I, J, K, and L. Use solid black lines and a medium gray shade for the quadrilateral.",4
1905,The diagram shows a square with sides of length $a$. The shaded part of the square is bounded by a semicircle and two quarter-circle arcs. What is the shaded area? <image1>,metric geometry - area,"Draw a square with a solid black outline, containing a semicircular arc spanning the top edge and two quarter-circle arcs curving inward from the bottom corners, meeting at a point on the vertical centerline. Shade the regions above the semicircle and below the quarter-circles with a uniform light gray color.",4
1906,"Mr Hyde can't remember exactly where he has hidden his treasure. He knows it is at least $5 \mathrm{~m}$ from his hedge, and at most $5 \mathrm{~m}$ from his tree. Which of the following shaded areas could represent the largest region where his treasure could lie?
<image1>",metric geometry - area,"Draw a diagram with 5 subfigures labeled A, B, C, D, and E, arranged in two rows. Each subfigure contains a horizontal wavy line at the top, a shaded region below, and a small tree icon. The shaded regions vary: A has a large semicircle, B has a small semicircle, C has a rectangle with a semicircular cutout, D has a plain rectangle, and E has a rectangle with a circular cutout. The tree icon is positioned inside or near the shaded region in each subfigure.",4
1907,"The picture shows the same die in three different positions. When the die is rolled, what is the probability of rolling a 'YES'?
<image1>",solid geometry,"Draw three identical 3D cubes in a horizontal row, each with three visible faces and black text. The left cube has ""no"" on top, ""YES"" on the left face, and ""YES"" on the right face. The middle cube has ""YES"" on top, ""YES"" on the left face, and ""maybe"" on the right face. The right cube has ""no"" on top, ""YES"" on the left face, and ""no"" on the right face. Use solid black lines and a white background.",4
1908,"In the grid, each small square has side of length 1 . What is the minimum distance from 'Start' to 'Finish' travelling only on edges or diagonals of the squares? <image1>",combinatorial geometry,"Draw a 2x4 rectangular grid of 8 small squares with solid black lines on a white background. Place a small filled black dot at the top-left corner and another at the bottom-right corner. Label the top-left dot ""Start"" above it and the bottom-right dot ""Finish"" below it.",4
1909,"The square $F G H I$ has area 80 . Points $J, K, L, M$ are marked on the sides of the square so that $F K=G L=H M=I J$ and $F K=3 K G$. What is the area of the shaded region? <image1>",metric geometry - area,"Draw a square with vertices labeled F, G, H, I. On each side, mark a point: J on the left, K on the top, L on the right, and M on the bottom. Connect these points with solid lines to form an inner quadrilateral. Two of the resulting triangular regions are shaded gray.",4
1910,"A large set of weighing scales has two identical sets of scales placed on it, one on each pan. Four weights $W, X, Y, Z$ are placed on the weighing scales as shown in the left diagram.
<image1>
Then two of these weights are swapped, and the pans now appear as shown in the diagram on the right. Which two weights were swapped?",algebra,"Draw two large balance scales side-by-side, each with a long horizontal beam, a central vertical support post, and two grey elliptical pans. On each pan, place a smaller platform scale with two rectangular weights, labeled ""W"" and ""X"" on the left scale's left and right pans, and ""Y"" and ""Z"" on the left scale's right pans. The right scale has no labels on its weights. The left scale's beam tilts downward from left to right, and the right scale's beam tilts upward from left to right.",4
1911,The figure shows seven regions enclosed by three circles. We call two regions neighbouring if their boundaries have more than one common point. In each region a number is written. The number in any region is equal to the sum of the numbers of its neighbouring regions. Two of the numbers are shown. What number is written in the central region? <image1>,arithmetic,"Draw a Venn diagram with three overlapping circles, forming seven enclosed regions. Label the upper-left overlap region with ""1"", the upper-right overlap region with ""2"", and the central overlap region with ""?"". Position the circles symmetrically, with one at the top and two below, to create a balanced pattern. Use solid black lines on a white background.",4
1912,"In the triangle $F G H$, we can draw a line parallel to its base $F G$, through point $X$ or $Y$. The areas of the shaded regions are the same. The ratio $H X: X F=4: 1$. What is the ratio $H Y: Y F$ ? <image1>",metric geometry - length,"Draw two identical triangles side by side, each with vertices labeled H, F, and G, and a horizontal base FG. In the left triangle, add a point X on the left side, and a horizontal line through X, creating a shaded trapezoid at the bottom. In the right triangle, add a point Y on the left side, and a horizontal line through Y, creating a shaded triangle at the top. Label the points and use solid black lines and gray shading.",4
1913,"A square is split into nine identical squares, each with sides of length one unit. Circles are inscribed in two of these squares, as shown. What is the shortest distance between the two circles? <image1>",metric geometry - length,"Draw a large square divided into a 3x3 grid of 9 identical smaller squares. Inside the top-left and bottom-right smaller squares, draw two circles, each inscribed to touch all four sides of its respective square. Use solid black lines for the squares and circles, and leave the background and circle interiors white.",4
1914,The large triangle shown has sides of length 5 units. What percentage of the area of the triangle is shaded? <image1>,metric geometry - area,"Draw a large isosceles triangle with a horizontal base and a centered apex. Inside the triangle, draw a shaded pentagon with a short horizontal top edge and two slanted upper and lower sides. Add two small unshaded triangles at the bottom corners. Label the sides: ""1"" near the top of each slanted side, ""3"" below, and ""1"", ""3"", ""1"" along the base. Add ""1"" near each bottom corner. Use solid black lines and shade the pentagon gray.",4
1915,"Sepideh is making a magic multiplication square using the numbers 1, 2, 4, 5, 10, 20, 25, 50 and 100 . The products of the numbers in each row, in each column and in the two diagonals should all be the same. In the figure you can see how she has started. Which number should Sepideh place in the cell with the question mark? <image1>",combinatorics,"Draw a 3x3 grid with 9 equal square cells, divided by solid black lines. Label the top-left cell with ""20"", the top-middle cell with ""1"", and the middle-right cell with ""?"". Leave all other cells empty. Position the grid centrally and render the text in a standard black font on a white background.",4
1916,"Peter wants to colour the cells of a $3 \times 3$ square in such a way that each of the rows, each of the columns and both diagonals have cells of three different colours. What is the least number of colours Peter could use? <image1>",combinatorics,"Draw a 3×3 grid of 9 equal-sized square cells, with 2 horizontal and 2 vertical solid black lines forming the cell boundaries, centered on a white background, with no labels, numbers, or shading.",4
1917,"The picture shows a cube with four marked angles, $\angle W X Y$, $\angle X Y Z, \angle Y Z W$ and $\angle Z W X$. What is the sum of these angles? <image1>",solid geometry,"Draw a 3D cube with vertices labeled W, X, Y, and Z. Include two thick solid line segments, one from W to Z and one from W to X. Add small curved angle arcs at each labeled vertex. Use thin solid lines for visible edges and thin dashed lines for hidden edges. Position W at the front-bottom-left, X at the front-bottom-right, Y at the top-right, and Z at the top-left.",4
1918,"A $5 \times 5$ square is divided into 25 cells. Initially all its cells are white, as shown. Neighbouring cells are those that share a common edge. On each move two neighbouring cells have their colours changed to the opposite colour (white cells become black and black ones become white). <image1>
What is the minimum number of moves required in order to obtain the chess-like colouring shown on the right?",combinatorics,"Draw two 5x5 square grids side by side, with a right-pointing black arrow between them. The left grid has all white cells, and the right grid has a checkerboard pattern of black and white cells, starting with a white cell in the top-left corner.",4
1919,"In the number pyramid shown each number is the sum of the two numbers immediately below. What number should appear in the lefthand cell of the bottom row?
<image1>",algebra,"Draw a 3-tiered pyramid of rectangular cells with solid black outlines on a white background. The bottom row has 3 cells: left cell contains ""?"", middle cell is blank, and right cell contains ""2017"". The middle row has 2 cells: left cell is blank and right cell contains ""2020"". The top row has 1 cell containing ""2039"", centered above the middle row.",4
1920,"Which of the following diagrams shows the locus of the midpoint of the wheel when the wheel rolls along the zig-zag curve shown?
<image1>",transformation geometry,"Draw a 2x3 grid of diagrams labeled A, B, C, D, and E, with each diagram containing a grey filled ""mountain"" shape with a flat bottom and zig-zag top, a wheel at the left with a curved arrow indicating rotation, and a thin black path above the zig-zag shape, ending in a large arrow pointing up-right. Each path differs: A is a smooth wavy curve, B has pointed peaks and rounded dips, C is piecewise linear with flat plateaus, D is a sharp zig-zag, and E has a smooth arch at the left.",4
1921,"A circle of radius 1 rolls along a straight line from the point $K$ to the point $L$, where $K L=11 \pi$. Which of the following pictures shows the correct appearance of the circle when it reaches $L$ ?
<image1>
<image2>",transformation geometry,"Draw a diagram with two panels stacked vertically, separated by a thick blue line. The top panel contains a circle divided into three sectors (white, medium gray, and dark gray) sitting on a horizontal line with tick marks labeled ""K"" and ""L"" below. A curved arrow indicates clockwise rotation. The bottom panel contains five identical circles, each divided into three sectors with different color arrangements (white, medium gray, and dark gray), labeled A to E from left to right.",4
1922,"As shown in the diagram, $F G H I$ is a trapezium with side $G F$ parallel to $H I$. The lengths of $F G$ and $H I$ are 50 and 20 respectively. The point $J$ is on the side $F G$ such that the segment $I J$ divides the trapezium into two parts of equal area. What is the length of $F J$ ? <image1>",metric geometry - length,"Draw a trapezium with vertices labeled F, G, H, and I, where FG is the longer parallel base and HI is the shorter parallel base. Add a point J on the bottom base FG, closer to G than F, and draw a line segment IJ. Label the vertices and point J with the corresponding letters. The trapezium should be centered on a white background with all lines and labels in black.",4
1923,"A belt drive system consists of the wheels $K, L$ and $M$, which rotate without any slippage. The wheel $L$ makes 4 full turns when $K$ makes 5 full turns; also $L$ makes 6 full turns when $M$ makes 7 full turns.
<image1>
The perimeter of wheel $M$ is $30 \mathrm{~cm}$. What is the perimeter of wheel $K$ ?",metric geometry - length,"Draw a diagram of a belt drive system with 3 wheels: a large central wheel labeled ""L"" and two smaller wheels labeled ""K"" and ""M"" positioned below it, one to the left and one to the right. The wheels are connected by two belt lines that cross in the middle, forming an ""X"" shape. Label ""L"" is centered on the top face of the large wheel, and labels ""K"" and ""M"" are below their respective wheels. All elements are solid black lines on a white background.",4
1924,"Maja decided to enter numbers into the cells of a $3 \times 3$ grid. She wanted to do this in such a way that the numbers in each of the four $2 \times 2$ grids that form part of the $3 \times 3$ grid have the same totals. She has already written numbers in three of the corner cells, as shown in the diagram. Which number does she need to write in the bottom right corner?
<image1>",algebra,"Draw a 3x3 grid with 9 equal square cells. Label the top-left cell with ""3"", the top-right cell with ""1"", and the bottom-left cell with ""2"". Place a question mark ""?"" in the bottom-right cell. Leave the remaining cells blank. Use solid black lines for the grid and black text on a white background. Center the grid in the image.",4
1925,"Carlos wants to put numbers in the number pyramid shown in such a way that each number above the bottom row is the sum of the two numbers immediately below it. What is the largest number of odd numbers that Carlos could put in the pyramid?
<image1>",algebra,"Draw a 2D number pyramid with 6 rows of rectangles, having 1, 2, 3, 4, 5, and 6 rectangles from top to bottom. The rectangles should be centered and symmetric, with each row wider than the one above it. Use solid black lines on a white background, with no labels, numbers, or special symbols. The rectangles should be empty and of uniform size.",4
1927,"The points $G$ and $I$ are on the circle with centre $H$, and $F I$ is tangent to the circle at $I$. The distances $F G$ and $H I$ are integers, and $F I=F G+6$. The point $G$ lies on the straight line through $F$ and $H$. How many possible values are there for $H I$ ? <image1>",metric geometry - length,"Draw a diagram with a circle on the right side, a horizontal line through the circle's center, labeled ""H"", and points ""G"" on the circle's left edge and ""I"" on the upper-left arc. Add a slanted line intersecting the horizontal line at ""F"" on the left, tangent to the circle at ""I"". Label points ""F"", ""G"", ""H"", and ""I"" near their respective positions.",4
1928,"The diagram shows a triangle $F H I$, and a point $G$ on $F H$ such that $G H=F I$. The points $M$ and $N$ are the midpoints of $F G$ and $H I$ respectively. Angle $N M H=\alpha^{\circ}$. Which of the following gives an expression for $\angle I F H$ ?
<image1>",metric geometry - angle,"Draw a triangle with vertices F, I, and H, and points M and G on the base FH, where M is to the left of G. Add point N on the slanted segment IH. Connect M to N with a line segment. Label the vertices and points F, I, H, M, G, and N. Include a small filled dot at point G.",4
1929,"The distance from the top of the can on the floor to the top of the bottle on the table is $150 \mathrm{~cm}$. The distance from the top of the bottle on the floor to the top of the can on the table is $110 \mathrm{~cm}$. What is the height of the table?
<image1>",algebra,"Draw a diagram with two 3D rectangular tables side by side, each with a bottle and a can. The left table has a bottle on top and a can on the floor to its right, with a vertical double-headed arrow and ""150 cm"" label. The right table has a can on top and a bottle on the floor to its right, with a vertical double-headed arrow and ""110 cm"" label. Use solid black lines and simple shading to indicate depth.",4
1930,"The diagram shows three congruent regular hexagons. Some diagonals have been drawn, and some regions then shaded. The total shaded areas of the hexagons are $X, Y, Z$ as shown. Which of the following statements is true? <image1>",metric geometry - area,"Draw three congruent regular hexagons in a horizontal row, labeled X, Y, and Z from left to right. Each hexagon has internal diagonals creating triangular regions, with some shaded gray and others white. The left hexagon (X) has a large central white triangle, the middle hexagon (Y) has an alternating gray and white pattern, and the right hexagon (Z) has a central gray triangle. Use solid black lines and a white background.",4
1931,"Some of the digits in the following correct addition have been replaced by the letters $P, Q, R$ and  $S$ , as shown. What is the value of $P+Q+R+S$ ?
<image1>",algebra,"Draw a vertical addition problem with 3 rows of text, centered. The top row has ""P 4 5"", the middle row has a plus sign on the left followed by ""Q R S"", and the bottom row has ""6 5 4"". Include a solid horizontal line below the middle row. Use a standard mathematical font with black text on a white background.",4
1932,"Monika plans to travel across the network in the diagram from point $P$ to point $Q$, travelling only in the direction of the arrows. How many different routes are possible? <image1>",combinatorics,"Draw a directed graph with 7 black nodes and 14 solid black directed edges, arranged in two symmetrical triangular structures sharing a middle baseline node. Label the leftmost baseline node with ""P"" and the rightmost baseline node with ""Q"". Position the nodes in three horizontal levels, with three nodes on the bottom, two in the middle, and two at the top, and connect them with directed edges as described, forming a network with a central node connecting two mirrored triangular subnetworks.",4
1933,Eight congruent semicircles are drawn inside a square of side-length 4 . Each semicircle begins at a vertex of the square and ends at a midpoint of an edge of the square. What is the area of the non-shaded part of the square? <image1>,metric geometry - area,"Draw a square with 8 congruent semicircles inside, 2 along each side, with each semicircle's diameter spanning from a vertex to the midpoint of the adjacent side. The semicircles create a central white star-like region and 4 white lens-shaped regions near the corners, surrounded by gray shaded areas.",4
1934,"An annulus is a shape made from two concentric circles. The diagram shows an annulus consisting of two concentric circles of radii 2 and 9. Inside this annulus two circles are drawn without overlapping, each being tangent to both of the concentric circles that make the annulus. In a different annulus made by concentric circles of radii 1 and 9 , what would be the largest possible number of non-overlapping circles that could be drawn in this way?
<image1>",combinatorial geometry,"Draw a diagram of 2 concentric circles with a large outer circle and a smaller inner circle, forming an annulus. Inside this annulus, add 2 smaller circles, one near the top and one to the right, each tangent to the outer and inner circles and to each other. Ensure all circles are solid black lines on a white background with no labels, text, or other markings.",4
1935,"Diana drew a rectangular grid of 12 squares on squared paper. Some of the squares were then painted black. In each white square she wrote the number of black squares that shared an edge with it (a whole edge, not just a vertex). The figure shows the result. Then she did the same with a rectangular grid of 2 by 1009 squares. What is the maximum value that she could obtain as the result of the sum of all the numbers in this grid? <image1>",combinatorics,"Draw a 3x4 rectangular grid of 12 equal squares with thin gray lines, containing black-filled squares and white squares with centered black numerals: top row ""1"", black, ""2"", ""1""; middle row ""0"", ""3"", black, black; bottom row ""1"", black, ""2"", ""1"".",4
1936,At each vertex of the 18 -gon in the picture a number should be written which is equal to the sum of the numbers at the two adjacent vertices. Two of the numbers are given. What number should be written at the vertex $P$ ? <image1>,algebra,"Draw a regular 18-gon with a circular shape, 18 small solid black dots marking its vertices, and solid black lines connecting them. Inside the polygon, place the uppercase letter ""P"" near the top center. Outside the polygon, place the number ""20"" near the bottom-left and ""18"" near the bottom-right. Use a black font on a white background with no additional markings or shading.",4
1937,"Two chords $P Q$ and $P R$ are drawn in a circle with diameter $P S$. The point $T$ lies on $P R$ and $Q T$ is perpendicular to $P R$. The angle $Q P R=60^{\circ}, P Q=24 \mathrm{~cm}, R T=3 \mathrm{~cm}$. What is the length of the chord $Q S$ in $\mathrm{cm}$ ? <image1>",metric geometry - length,"Draw a circle with points P, Q, R, and S on its circumference, and point T inside. P is on the left, Q is on the upper right, R is on the bottom, and S is on the right. Draw line segments PQ, PR, and PS, with PS as a diameter. Add segment QT, perpendicular to PR at T. Include a right-angle marker at T and an angle arc at P. Label points P, Q, R, S, and T.",4
1938,"Two angles are marked on the $3 \times 3$ grid of squares.
<image1>
Which of the following statements about the angles is correct?",metric geometry - angle,"Draw a 3x3 grid of equal squares within a larger square border. Include two bold diagonal line segments originating from the bottom-left corner, one at a moderate slope and the other steeper, and a short horizontal segment along the bottom edge. Add two angle arcs near the common starting point, labeling one ""α°"" between the horizontal and moderate diagonal segments, and the other ""β°"" between the moderate and steeper diagonal segments.",4
1939,"Inside each unit square a certain part has been shaded. In which square is the total shaded area the largest?
<image1>",metric geometry - area,"Draw a horizontal row of 5 identical unit squares, labeled A to E from left to right, each with a thin black outline and containing distinct black-filled shapes: A has two tall triangles and a thin vertical strip, B has alternating black and white wedges, C has two black wedges with a central white wedge, D has a diagonal line dividing it into a black and white triangle, and E has a black base with multiple narrow white spikes.",4
1940,On each of three pieces of paper a five-digit number is written as shown. Three of the digits are covered. The sum of the three numbers is 57263 . What are the covered digits? <image1>,algebra,"Draw a diagram with three overlapping light-gray rectangular strips on a white background. The top-left to bottom-right strip has digits ""1 5 7 2 8"", the bottom strip has ""2 2 3 3 1"", and the upper-right strip has ""0 4"". The strips overlap near the center, with the top-left strip on top, the bottom strip in the middle, and the upper-right strip on the bottom.",4
1941,The flag of Kangaria is a rectangle with side-lengths in the ratio $3: 5$. The flag is divided into four rectangles of equal area as shown. What is the ratio of the length of the shorter sides of the white rectangle to the length of its longer sides? <image1>,metric geometry - length,"Draw a horizontal rectangle with a black vertical rectangle on the left, spanning the full height, and three horizontal rectangles on the right, stacked equally. The top-right rectangle is light gray, the middle is white, and the bottom is dark gray. The rectangles are divided by thin, solid black lines.",4
1942,"The diagram shows a shape made of arcs of three circles, each with radius $R$. The centres of the circles lie on the same straight line, and the middle circle passes through the centres of the other two circles. What is the perimeter of the shape? <image1>",metric geometry - length,"Draw three identical circles arranged horizontally, overlapping pairwise, with each circle containing a small filled black dot at its center. The circles have solid black outlines, and two dashed circular arcs are inside the overlap regions. The dots are aligned along a horizontal line, and there are no labels, axes, or shading, on a white background.",4
